name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
RF,12,Duke,NC Central/N. Dak. St.,0,$248.0,100.0%,0.0%,0.0%,1.0
gully,11,Duke,NC Central/N. Dak. St.,0,$36.97,0.0%,59.64%,0.0%,2.5
liquorman,6,Duke,NC Central/N. Dak. St.,0,$22.15,0.0%,35.73%,0.0%,2.85
bob,0,Duke,NC Central/N. Dak. St.,0,$10.0,0.0%,0.0%,100.0%,16.0
terry,14,Duke,NC Central/N. Dak. St.,0,$5.81,0.0%,9.36%,0.0%,3.77
chad,5,Duke,NC Central/N. Dak. St.,0,$0.62,0.0%,1.0%,0.0%,4.84
dave b.,1,Duke,NC Central/N. Dak. St.,0,$0.0,0.0%,0.0%,0.0%,7.77
drew,2,Duke,NC Central/N. Dak. St.,0,$0.0,0.0%,0.0%,0.0%,12.34
liz,3,Duke,NC Central/N. Dak. St.,0,$0.0,0.0%,0.0%,0.0%,6.13
barb,4,Duke,NC Central/N. Dak. St.,0,$0.0,0.0%,0.0%,0.0%,15.0
dave monkey,7,Duke,NC Central/N. Dak. St.,0,$0.0,0.0%,0.0%,0.0%,7.58
purdue pete,8,Duke,NC Central/N. Dak. St.,0,$0.0,0.0%,0.0%,0.0%,14.0
stef,9,Duke,NC Central/N. Dak. St.,0,$0.0,0.0%,0.0%,0.0%,12.11
peninsular danny,10,Duke,NC Central/N. Dak. St.,0,$0.0,0.0%,0.0%,0.0%,11.38
jake,13,Duke,NC Central/N. Dak. St.,0,$0.0,0.0%,0.0%,0.0%,8.19
tyler,15,Duke,NC Central/N. Dak. St.,0,$0.0,0.0%,0.0%,0.0%,9.95

name,userId,winner,loser,game_id,avg money,first%,second%,last%,avg place
gully,11,UCF,VCU,1,$156.69,61.18%,8.0%,0.0%,1.68
RF,12,UCF,VCU,1,$126.82,46.64%,18.0%,0.0%,2.07
chad,5,UCF,VCU,1,$63.13,13.45%,48.0%,0.0%,2.25
bob,0,UCF,VCU,1,$10.0,0.0%,0.0%,100.0%,16.0
dave b.,1,UCF,VCU,1,$0.0,0.0%,0.0%,0.0%,8.0
drew,2,UCF,VCU,1,$0.0,0.0%,0.0%,0.0%,13.62
